file,year,cites,title,venue,doi,code_urls,code_mentions,datasets,simulators,methods,chars
2025_Chourey_Design_and_Develop_a_Trust_based_Scheme_for_Sybil_Attacker_Detection_and_Prevention_in_VAN.pdf,2025,0,Design and Develop a Trust based Scheme for Sybil Attacker Detection and Prevention in VANETs,International Journal For Multidisciplinary Research,10.36948/ijfmr.2025.v07i01.38087,,,,NS-2,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted",43150
2025_Guven_Creating_a_realistic_sybil_attack_dataset_for_intervehicle_communication.pdf,2025,4,Creating a realistic sybil attack dataset for inter-vehicle communication,Peer-to-Peer Networking and Applications,10.1007/s12083-025-02058-w,github.com/V | https://github.com/V,"The updated map, which includes corrections for the aforementioned errors, is available in SUMO format on GitHub 1 ;; The complete V eins project, source code, a 25-minute sample dataset, and accompanying documentation are available on GitHub 2 ;; V ehicles 2 https://github","LuST (Luxembourg), F2MD","NS-3, SUMO, Veins","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted",69915
2025_Maram_Survey_on_Sybil_Attack_Detection_in_VANET.pdf,2025,0,Survey on Sybil Attack Detection in VANET,Multimedia Research,10.46253/j.mr.v8i4.a4,,,"VeReMi, VeReMi Extension","NS-2, NS-3, OMNeT++, SUMO, MATLAB","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Fog/edge/cloud",61220
2025_Nishtha_EXPLORING_VULNERABILITY_OF_TOPOLOGYBASED_ROUTING_PROTOCOLS_TO_SYBIL_ATTACK_IN_PURE_VEHICUL.pdf,2025,0,EXPLORING VULNERABILITY OF TOPOLOGY-BASED ROUTING PROTOCOLS TO SYBIL ATTACK IN PURE VEHICULAR AD HOC NETWORK,,10.5281/zenodo.19281533,,,,"NS-2, NS-3, OPNET","RSSI/PHY, Position/trajectory",55372
2025_Nishtha_ON_DISRUPTION_OF_EXISTING_ROUTING_PROTOCOLS_BY_SYBIL_ATTACK_ON_VEHICLE_TO_VEHICLE_COMMUNIC.pdf,2025,0,ON DISRUPTION OF EXISTING ROUTING PROTOCOLS BY SYBIL ATTACK ON VEHICLE TO VEHICLE COMMUNICATION IN VEHICULAR AD HOC NETWORKS,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19283933,,,,OPNET,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series, Fog/edge/cloud",90680
2025_Sderhll_On_the_Impact_of_Sybilbased_Attacks_on_Mobile_Crowdsensing_for_Transportation.pdf,2025,0,On the Impact of Sybil-based Attacks on Mobile Crowdsensing for Transportation,arXiv preprint,10.1109/percomworkshops65533.2025.00113,,,,SUMO,"Position/trajectory, ML/DL",36706
2025_Sefati_A_RealTime_Sybil_Attack_Detection_for_Vehicular_Ad_Hoc_Networks_VANETS_Using_SpatioTempora.pdf,2025,0,A Real-Time Sybil Attack Detection for Vehicular Ad Hoc Networks (VANETS) Using Spatio-Temporal Learning and XGBoost,,10.1109/wpmc67460.2025.11351272,,,,"NS-2, NS-3, OMNeT++, SUMO, Veins","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, RSU-assisted, Timestamp series, Fog/edge/cloud",29014
2025_Suganyadevi_Sybil_Attack_Detection_in_VANET_Using_CNN_Enhanced_with_Chaotic_Maps_and_Elephant_Herding.pdf,2025,1,Sybil Attack Detection in VANET Using CNN Enhanced with Chaotic Maps and Elephant Herding Optimization for Secure Data Transmission,Journal of Machine and Computing,10.53759/7669/jmc202505097,,,,"NS-2, Python/sklearn/TF","RSSI/PHY, Crypto/PKI/pseudonym, ML/DL, Blockchain, RSU-assisted, Fog/edge/cloud",52591
2025_Taysi_A_better_way_to_detect_sybil_attacks_in_vehiuclar_ad_hoc_networks.pdf,2025,1,A better way to detect sybil attacks in vehiuclar ad hoc networks,DÜMF Mühendislik Dergisi,10.24012/dumf.1578650,https://github.com/VANET-IstanbulSybil-Attack-,The source code of the simulation environment and the dataset is available on the GitHub repository [22],"VeReMi, VeReMi Extension, F2MD","SUMO, Veins","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted",33522
2025_Velayudhan_Adaptive_Ship_Rescue_Optimization_Enabled_Deep_Learning_for_Sybil_Attack_Detection_with_Se.pdf,2025,0,Adaptive Ship Rescue Optimization Enabled Deep Learning for Sybil Attack Detection with Secure Transmission in Urban VANET,International Journal of Electronics and Communication Engineering,10.14445/23488549/ijece-v12i8p102,,,CICIDS/NSL-KDD (generic IDS sets),,"RSSI/PHY, Position/trajectory, ML/DL, Trust/reputation, RSU-assisted",37997
2025_Zhang_Sybilresistant_and_privacypreserving_authentication_based_on_shortterm_pseudonym_for_inter.pdf,2025,0,Sybil-resistant and privacy-preserving authentication based on short-term pseudonym for internet of vehicles,Scientific Reports,10.1038/s41598-025-28854-1,,,,,"Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted, Timestamp series, Fog/edge/cloud",63048
2026_B_EFLOQDCNN_Exponential_Frilled_Lizard_Optimization_Quantum_Dilated_Convolutional_Neural_Net.pdf,2026,0,EFLO_QDCNN: Exponential Frilled Lizard Optimization_ Quantum Dilated Convolutional Neural Network for Sybil attack detection in VANET,Journal of Networking and Communication Systems (JNACS),10.46253/jnacs.v9i1.a4,,,CICIDS/NSL-KDD (generic IDS sets),,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted",40867
2026_Hadri_A_Novel_Approach_to_Sybil_Attack_Detection_in_VANETs_Using_Verifiable_Delay_Functions_and.pdf,2026,0,A Novel Approach to Sybil Attack Detection in VANETs Using Verifiable Delay Functions and Hierarchical Fog-Cloud Architecture,Journal of Cybersecurity and Privacy,10.3390/jcp6020059,,,"VeReMi, VeReMi Extension","OMNeT++, SUMO, Python/sklearn/TF","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series, Fog/edge/cloud",131852
2026_Khan_A_Robust_Framework_for_Sybil_Attack_Detection_in_Vehicular_Ad_Hoc_Networks.pdf,2026,0,A Robust Framework for Sybil Attack Detection in Vehicular Ad Hoc Networks,arXiv (Cornell University),10.48550/arxiv.2606.11667,,,,SUMO,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, RSU-assisted, Timestamp series",65132
2026_Tadesse_Sybil_Attack_Prevention_and_Detection_Mechanism_in_VANET_Based_on_Multifactor_Authenticati.pdf,2026,1,Sybil Attack Prevention and Detection Mechanism in VANET Based on Multi-factor Authentication,International Journal of Information and Communication Sciences,10.11648/j.ijics.20261101.11,,,,NS-2,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted, Timestamp series",35624
