have_pdf,year,cites,title,authors,venue,doi,topics,file,pdf_url,landing
YES,2021,15,Security Measures with Enhanced Behavior Processing and Footprint Algorithm against Sybil and Bogus Attacks in Vehicular Ad Hoc Network,Krzysztof Stępień; Aneta Poniszewska-Marańda,Sensors,10.3390/s21103538,Position / trajectory verification; Trust / reputation; RSU / infrastructure-assisted,pdfs/2021_Stpie_Security_Measures_with_Enhanced_Behavior_Processing_and_Footprint_Algorithm_against_Sybil.pdf,https://www.mdpi.com/1424-8220/21/10/3538/pdf?version=1621833715,https://doi.org/10.3390/s21103538
,2020,15,A collaborative strategy for detection and eviction of Sybil attacker and Sybil nodes in VANET,P. Remya krishnan; P. Arun Raj Kumar,International Journal of Communication Systems,10.1002/dac.4621,RSSI / signal-strength & PHY; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1002/dac.4621
,2019,15,A Blockchain Construct for Energy Trading against Sybil Attacks,U. Asfia; V. Kamuni; Sarang Sutavani; A. Sheikh; Sushama Wagh; N. M. Singh,,10.1109/med.2019.8798489,"Cryptography, PKI & pseudonyms; Blockchain / distributed ledger",,,https://doi.org/10.1109/med.2019.8798489
YES,2012,15,Distributed Data Fusion for Detecting Sybil Attacks in VANETs,Nicole El Zoghby; Véronique Cherfaoui; Bertrand Ducourthial; Thierry Denœux,Advances in intelligent and soft computing,10.1007/978-3-642-29461-7_41,Other / general Sybil defence,pdfs/2012_Zoghby_Distributed_Data_Fusion_for_Detecting_Sybil_Attacks_in_VANETs.pdf,https://hal.science/hal-00756330,https://doi.org/10.1007/978-3-642-29461-7_41
,2024,14,Detecting Sybil Attacks in VANET: Exploring Feature Diversity and Deep Learning Algorithms with Insights into Sybil Node Associations,Rukhsar Sultana; Jyoti Grover; Meenakshi Tripathi; Manhar Singh Sachdev; Sparsh Taneja,Journal of Network and Systems Management,10.1007/s10922-024-09827-7,Machine learning / deep learning,,,https://doi.org/10.1007/s10922-024-09827-7
YES,2022,14,Detection of Sybil attack in vehicular ad hoc networks by analyzing network performance,Nirbhay Kumar Chaubey; Dhananjay Yadav,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,10.11591/ijece.v12i2.pp1703-1710,Datasets & simulation,pdfs/2022_Chaubey_Detection_of_Sybil_attack_in_vehicular_ad_hoc_networks_by_analyzing_network_performance.pdf,https://ijece.iaescore.com/index.php/IJECE/article/download/25985/15520,https://doi.org/10.11591/ijece.v12i2.pp1703-1710
,2019,14,RSSI Sequence and Vehicle Driving Matrix Based Sybil Nodes Detection in VANET,Wei Li; Dongmei Zhang,,10.1109/iccsn.2019.8905261,RSSI / signal-strength & PHY; Trust / reputation; RSU / infrastructure-assisted,,,https://doi.org/10.1109/iccsn.2019.8905261
YES,2015,14,Multivariate verification for sybil attack detection in VANET,Jyoti Grover; Manoj Singh Gaur; Vijay Laxmi,Open Computer Science,10.1515/comp-2015-0006,Position / trajectory verification; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2015_Grover_Multivariate_verification_for_sybil_attack_detection_in_VANET.pdf,https://www.degruyter.com/document/doi/10.1515/comp-2015-0006/pdf,https://doi.org/10.1515/comp-2015-0006
,2022,13,An Overview of Sybil Attack Detection Mechanisms in VFC,Haonan Yang; Yongchao Zhong; Bo Yang; Yiyu Yang; Zifeng Xu; Longjuan Wang; Yuqing Zhang,,10.1109/dsn-w54100.2022.00028,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Surveys & reviews",,,https://doi.org/10.1109/dsn-w54100.2022.00028
,2021,13,"Detecting Sybil Attack, Black Hole Attack and DoS Attack in VANET Using RSA Algorithm",Priyanka Shah; Tanmay Kasbe,,10.1109/eti4.051663.2021.9619414,Routing-protocol impact; Datasets & simulation,,,https://doi.org/10.1109/eti4.051663.2021.9619414
,2020,13,Dealing with Sybil Attack in VANET,Binod Kumar Pattanayak; Omkar Pattnaik; Sasmita Pani,"Smart innovation, systems and technologies",10.1007/978-981-15-5971-6_51,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-15-5971-6_51
,2019,13,Road Safety Against Sybil Attacks Based on RSU Collaboration in VANET Environment,Said Benkirane,Lecture notes in computer science,10.1007/978-3-030-22885-9_15,RSU / infrastructure-assisted,,,https://doi.org/10.1007/978-3-030-22885-9_15
,2017,13,Localization of Sybil Nodes with Electro-Acoustic Positioning in VANETs,Seongwon Han; Daehyun Ban; Woojin Park; Mário Gerla,,10.1109/glocom.2017.8253994,Position / trajectory verification; Datasets & simulation,,,https://doi.org/10.1109/glocom.2017.8253994
,2017,13,Trust Based Approach in Adjacent Vehicles to Mitigate Sybil Attacks in VANET,Guntur Dharma Putra; Selo Sulistyo,,10.1145/3178212.3178231,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted",,,https://doi.org/10.1145/3178212.3178231
YES,2024,12,Sybil Attack-Resistant Blockchain-Based Proof-of-Location Mechanism with Privacy Protection in VANET,Narayan Khatri; Sihyung Lee; Seung Yeob Nam,Sensors,10.3390/s24248140,Position / trajectory verification; Blockchain / distributed ledger; RSU / infrastructure-assisted,pdfs/2024_Khatri_Sybil_AttackResistant_BlockchainBased_ProofofLocation_Mechanism_with_Privacy_Protection_in.pdf,https://www.mdpi.com/1424-8220/24/24/8140/pdf?version=1734692648,https://doi.org/10.3390/s24248140
,2021,12,Credibility Enhanced Temporal Graph Convolutional Network Based Sybil Attack Detection On Edge Computing Servers,Baiting Luo; Liu X; Qi Zhu,,10.1109/iv48863.2021.9575361,RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/iv48863.2021.9575361
,2017,12,On the impact of sybil attacks in cooperative driving scenarios,Felipe Boeira; Marinho Barcellos; Edison Pignaton de Freitas; Alexey Vinel; Mikael Asplund,,10.23919/ifipnetworking.2017.8264890,Position / trajectory verification; Datasets & simulation,,,https://doi.org/10.23919/ifipnetworking.2017.8264890
,2013,12,Leveraging platoon dispersion for Sybil detection in vehicular networks,Muhammad Al Mutaz; Levi Malott; Sriram Chellappan,,10.1109/pst.2013.6596086,Trust / reputation; RSU / infrastructure-assisted,,,https://doi.org/10.1109/pst.2013.6596086
YES,2013,12,A Time-series Clustering Approach for Sybil Attack Detection in Vehicular Ad hoc Networks,Neelanjana Dutta; Sriram Chellappan,,,Other / general Sybil defence,pdfs/2013_Dutta_A_Timeseries_Clustering_Approach_for_Sybil_Attack_Detection_in_Vehicular_Ad_hoc_Networks.pdf,,https://www.thinkmind.org/download.php?articleid=vehicular_2013_2_40_60067
,2024,11,A Survey and Comparative Analysis of Methods for Countering Sybil Attacks in VANETs,Gideon Adele; Abinash Borah; Anirudh Paranjothi; Mohammad S. Khan,,10.1109/ccwc60891.2024.10427979,Surveys & reviews,,,https://doi.org/10.1109/ccwc60891.2024.10427979
YES,2022,11,Secure Vehicular Platoon Management against Sybil Attacks,Danial Ritzuan Junaidi; Maode Ma; Rong Su,Sensors,10.3390/s22229000,"Cryptography, PKI & pseudonyms",pdfs/2022_Junaidi_Secure_Vehicular_Platoon_Management_against_Sybil_Attacks.pdf,https://www.mdpi.com/1424-8220/22/22/9000/pdf?version=1669105989,https://doi.org/10.3390/s22229000
,2020,11,A Novel Approach to Detection of and Protection from Sybil Attack in VANET,Binod Kumar Pattanayak; Omkar Pattnaik; Sasmita Pani,Lecture notes in networks and systems,10.1007/978-981-15-2774-6_30,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-15-2774-6_30
,2019,11,Merged technique to prevent SYBIL Attacks in VANETs,Salman Ali Syed; B. V. V. Siva Prasad,,10.1109/iccisci.2019.8716435,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted",,,https://doi.org/10.1109/iccisci.2019.8716435
,2013,11,L-P2DSA: Location-based privacy-preserving detection of Sybil attacks,Kenza Mekliche; Samira Moussaoui,,10.1109/isps.2013.6581485,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",,,https://doi.org/10.1109/isps.2013.6581485
,2018,10,A Survey on Sybil Attack Detection in Vehicular ad hoc Networks (VANET),Zaid A. Abdulkader; Azizol Abdullah,,,Surveys & reviews,,,http://ericdata.com/tw/detail.aspx?no=412019
,2016,10,Techniques to isolate sybil attack in VANET-A review,Supinder Kaur; Anil Kumar,,10.1109/iceeot.2016.7754777,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Surveys & reviews",,,https://doi.org/10.1109/iceeot.2016.7754777
,2015,10,Region authority based collaborative scheme to detect Sybil attacks in VANET,Anu S Lal; Reena Nair,,10.1109/iccc.2015.7432979,RSU / infrastructure-assisted,,,https://doi.org/10.1109/iccc.2015.7432979
,2024,9,Sybil attack detection in ultra-dense VANETs using verifiable delay functions,Yuvaraj Rajendra; Venkatesan Subramanian; Sandeep K. Shukla,Peer-to-Peer Networking and Applications,10.1007/s12083-024-01673-3,Other / general Sybil defence,,,https://doi.org/10.1007/s12083-024-01673-3
,2023,9,LCSS Based Sybil Attack Detection and Avoidance in Clustered Vehicular Networks,S. Rakhi; K. R. Shobha,IEEE Access,10.1109/access.2023.3294469,RSSI / signal-strength & PHY,,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179918.pdf,https://doi.org/10.1109/access.2023.3294469
,2022,9,FedMix: A Sybil Attack Detection System Considering Cross-layer Information Fusion and Privacy Protection,Jing Zhao; Ru-wu Wang,,10.1109/secon55815.2022.9918586,RSSI / signal-strength & PHY; Machine learning / deep learning,,,https://doi.org/10.1109/secon55815.2022.9918586
,2021,9,The Impact of Sybil Attacks on Vehicular Fog Networks,Sarra Benadla; Omar Rafik Merad Boudia,,10.1109/icrami52622.2021.9585965,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,,https://doi.org/10.1109/icrami52622.2021.9585965
,2020,9,Sybil Attack Detection and Prevention in VANETs: A Survey,Yunpeng Zhang; Bidit Das; Fengxiang Qiao,Advances in intelligent systems and computing,10.1007/978-3-030-63092-8_51,Surveys & reviews,,,https://doi.org/10.1007/978-3-030-63092-8_51
,2019,9,Cloud-based Sybil Attack Detection Scheme for Connected Vehicles,Anika Anwar; Talal Halabi; Mohammad Zulkernine,,10.1109/csnet47905.2019.9108923,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted",,,https://doi.org/10.1109/csnet47905.2019.9108923
,2018,9,Hybrid Algorithm to Detect the Sybil Attacks in VANET,Salam Hamdan; Amjad Hudaib; Arafat Awajan,,10.1109/isiict.2018.8613724,"Position / trajectory verification; Cryptography, PKI & pseudonyms; Datasets & simulation",,,https://doi.org/10.1109/isiict.2018.8613724
,2017,9,Obfuscated RSUs Vector Based Signature Scheme for Detecting Conspiracy Sybil Attack in VANETs,Xia Feng; Jin Tang,Mobile Information Systems,10.1155/2017/4682538,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",,http://downloads.hindawi.com/journals/misy/2017/4682538.pdf,https://doi.org/10.1155/2017/4682538
,2014,9,A privacy-preserving authentication and Sybil detection protocol for vehicular ad hoc networks,Thiago M. de Sales; Hyggo Almeida; Ângelo Perkusich; Leandro de Sales; Marcello de Sales,,10.1109/icce.2014.6776070,"Cryptography, PKI & pseudonyms",,,https://doi.org/10.1109/icce.2014.6776070
,2022,8,Detection and prevention of Sybil attack in VANET using modified ACO,Syed Mohd Faisal; Bineet Kumar Gupta; Taskeen Zaidi,,10.1109/icccmla56841.2022.9989157,Other / general Sybil defence,,,https://doi.org/10.1109/icccmla56841.2022.9989157
YES,2022,8,Sybil Attack Detection in VANET Using Machine Learning Approach,Sireesha Kakulla; Srinivas Malladi,Ingénierie des systèmes d information,10.18280/isi.270410,Position / trajectory verification; Machine learning / deep learning,pdfs/2022_Kakulla_Sybil_Attack_Detection_in_VANET_Using_Machine_Learning_Approach.pdf,https://www.iieta.org/download/file/fid/80629,https://doi.org/10.18280/isi.270410
YES,2021,8,Sybil Attack with RSU Detection and Location Privacy in Urban VANETs- an Efficient EPORP Technique,Nitha C. Velayudhan; A. Anitha; Mukesh Madanan,Research Square,10.21203/rs.3.rs-680396/v1,RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,pdfs/2021_Velayudhan_Sybil_Attack_with_RSU_Detection_and_Location_Privacy_in_Urban_VANETs_an_Efficient_EPORP_Te.pdf,https://www.researchsquare.com/article/rs-680396/latest.pdf,https://doi.org/10.21203/rs.3.rs-680396/v1
,2020,8,Crypto-SAP Protocol for Sybil Attack Prevention in VANETs,Mohamed Khalil; Marianne A. Azer,Advances in intelligent systems and computing,10.1007/978-981-15-4409-5_13,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-15-4409-5_13
,2018,8,Sybil attack resistant location privacy in VANET,Allam Balaram; S. Pushpa,International Journal of Information and Communication Technology,10.1504/ijict.2018.095025,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",,https://pubmed.ncbi.nlm.nih.gov/39771874,https://doi.org/10.1504/ijict.2018.095025
YES,2015,8,Movement Abnormality Evaluation Model in the Partially Centralized VANETs for Prevention Against Sybil Attack,Mandeep Kaur; Manish Mahajan,International Journal of Modern Education and Computer Science,10.5815/ijmecs.2015.11.03,Position / trajectory verification,pdfs/2015_Kaur_Movement_Abnormality_Evaluation_Model_in_the_Partially_Centralized_VANETs_for_Prevention_A.pdf,http://www.mecs-press.org/ijmecs/ijmecs-v7-n11/IJMECS-V7-N11-3.pdf,https://doi.org/10.5815/ijmecs.2015.11.03
,2014,8,"A Study of Sybil and Temporal Attacks in Vehicular Ad Hoc Networks: Types, Challenges, and Impacts",Deepika Shrivastava; Ankur Pandey,International Journal of Computer Applications Technology and Research,10.7753/ijcatr0305.1002,Other / general Sybil defence,,,https://doi.org/10.7753/ijcatr0305.1002
,2012,8,Modeling Sybil attacker behavior in VANETs,Parastoo Kafil; Mahmoud Fathy; ‪Mina Zolfy Lighvan,,10.1109/iscisc.2012.6408215,Position / trajectory verification; Datasets & simulation,,,https://doi.org/10.1109/iscisc.2012.6408215
,2012,8,AntiSybil: Standing against Sybil Attacks in Privacy-Preserved VANET,Rasheed Hussain; Heekuck Oh; Sangjin Kim,,10.1109/iccve.2012.27,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,,https://doi.org/10.1109/iccve.2012.27
,2022,7,A hybrid framework to prevent VANET from Sybil Attack,Syed Mohd Faisal; Bineet Kumar Gupta; Taskeen Zaidi,,10.1109/impact55510.2022.10029103,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted; Routing-protocol impact",,,http://dx.doi.org/10.1109/impact55510.2022.10029103
,2022,7,Impact of Sybil Attack on Software-Defined Vehicular Fog Computing (SDVF) for an Emergency Vehicle Scenario,L. Jai Vinita; V. Vetriselvi,Lecture notes in networks and systems,10.1007/978-981-19-4960-9_61,RSU / infrastructure-assisted,,,https://doi.org/10.1007/978-981-19-4960-9_61
YES,2017,7,Segregation of Sybil Attack using Neighbouring Information in VANET,Anu Panchal; Dinesh Singh,IARJSET,10.17148/iarjset.2017.4631,Trust / reputation; Datasets & simulation,pdfs/2017_Panchal_Segregation_of_Sybil_Attack_using_Neighbouring_Information_in_VANET.pdf,https://doi.org/10.17148/iarjset.2017.4631,https://doi.org/10.17148/iarjset.2017.4631
YES,2015,7,A Review on Sybil Attack Detection Techniques,Jaydip R. Kamani; Dhaval Parikh,IJSRD : international journal for scientific research and development,,Surveys & reviews,pdfs/2015_Kamani_A_Review_on_Sybil_Attack_Detection_Techniques.pdf,,http://www.journal4research.org/articles/J4RV1I1029.pdf
,2011,7,Sybil attack detection based on signature vectors in VANETs,N.A. Chen; Weili Han; Xin Wang,International Journal of Critical Computer-Based Systems,10.1504/ijccbs.2011.038948,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",,http://downloads.hindawi.com/journals/misy/2017/4682538.pdf,https://doi.org/10.1504/ijccbs.2011.038948
,2024,6,Decentralized Distance-based Strategy for Detection of Sybil Attackers and Sybil Nodes in VANET,P. Remya krishnan; Ritesh Koushik,Journal of Network and Systems Management,10.1007/s10922-024-09869-x,Other / general Sybil defence,,,https://doi.org/10.1007/s10922-024-09869-x
,2022,6,A fog-assisted system to defend against Sybils in vehicular crowdsourcing,Federico Concone; Fabrizio De Vita; Ajay Pratap; Dario Bruneo; Giuseppe Lo Re; Sajal K. Das,Pervasive and Mobile Computing,10.1016/j.pmcj.2022.101612,RSU / infrastructure-assisted,,https://www.sciencedirect.com/science/article/am/pii/S1574119222000505?via%3Dihub,https://doi.org/10.1016/j.pmcj.2022.101612
YES,2022,6,Sybil Attack Prediction on Vehicle Network Using Deep Learning,Zulfahmi Helmi; Ramzi Adriman; Teuku Yuliar Arif; Hubbul Walidainy; Maya Fitria,Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),10.29207/resti.v6i3.4089,Machine learning / deep learning,pdfs/2022_Helmi_Sybil_Attack_Prediction_on_Vehicle_Network_Using_Deep_Learning.pdf,http://jurnal.iaii.or.id/index.php/RESTI/article/download/4089/604,https://doi.org/10.29207/resti.v6i3.4089
,2020,6,Exploring the Possibility of Sybil Attack in Position Based Routing Protocols in VANETs: A Case Study of Greedy Perimeter Coordinator Routing (GPCR),Nishtha; Manu Sood,Communications in computer and information science,10.1007/978-981-15-5830-6_7,Routing-protocol impact,,,https://doi.org/10.1007/978-981-15-5830-6_7
,2018,6,Sybil Attacks in Intelligent Vehicular Ad Hoc Networks: A Review,Aveen Muhamad; Mourad Elhadef,Lecture notes in electrical engineering,10.1007/978-981-13-1328-8_71,Surveys & reviews,,,https://doi.org/10.1007/978-981-13-1328-8_71
,2016,6,A defensive timestamp approach to detect and mitigate the Sybil attack in vanet,Shikha Sharma; Shivani Sharma,,10.1109/ic3i.2016.7917994,Other / general Sybil defence,,,https://doi.org/10.1109/ic3i.2016.7917994
,2015,6,Comparative Study on Sybil Attack Detection Schemes,Salam Hamdan; Raad S. Al‐Qassas; Sara Tedmori,INTERNATIONAL JOURNAL OF COMPUTERS & TECHNOLOGY,10.24297/ijct.v14i7.1898,Surveys & reviews,,https://cirworld.com/index.php/ijct/article/download/1898/pdf_596,https://doi.org/10.24297/ijct.v14i7.1898
,2014,6,Defense mechanisms against Sybil attack in vehicular ad hoc network,Mahdiyeh Ali Mohammadi; Ali A. Pouyan,Security and Communication Networks,10.1002/sec.1049,Other / general Sybil defence,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sec.1049,https://doi.org/10.1002/sec.1049
,2024,5,Ensemble Based Machine Learning Classifier for Sybil Attack Detection in Vehicular AD-HOC Networks (VANETS),Piyush Kumar Pareek; Prateeksha Siddhanti; S. Anupkant; Saif O. Husain; I. Bhuvaneshwarri,,10.1109/icdsis61070.2024.10594488,Machine learning / deep learning,,,https://doi.org/10.1109/icdsis61070.2024.10594488
YES,2023,5,Non-Interactive Privacy-Preserving Sybil-Free Authentication Scheme in VANETs,Mahdi Akil; Leonardo A. Martucci; Jaap-Henk Hoepman,,10.14722/vehiclesec.2023.23007,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted",pdfs/2023_Akil_NonInteractive_PrivacyPreserving_SybilFree_Authentication_Scheme_in_VANETs.pdf,http://dx.doi.org/10.14722/vehiclesec.2023.23007,https://doi.org/10.14722/vehiclesec.2023.23007
YES,2023,5,Enhancing Security in VANETs with Sybil Attack Detection using Fog Computing,Anirudh Paranjothi; Mohammad S. Khan,,10.1109/vtc2023-fall60731.2023.10333491,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2023_Paranjothi_Enhancing_Security_in_VANETs_with_Sybil_Attack_Detection_using_Fog_Computing.pdf,http://arxiv.org/abs/2108.10319,http://dx.doi.org/10.1109/vtc2023-fall60731.2023.10333491
,2023,5,RSSI-Based Sybil Attack Detection Under Fading Channel in VANET,Beiyuan Liu; Jiaxiu Cai; Jiajia Liu,,10.1109/icc45041.2023.10279536,RSSI / signal-strength & PHY; Datasets & simulation,,,https://doi.org/10.1109/icc45041.2023.10279536
,2021,5,Robust Sybil Attack Detection in Vehicular Networks,Halit Bugra Tulay; C. Emre Koksal,2021 IEEE 94th Vehicular Technology Conference (VTC2021-Fall),10.1109/vtc2021-fall52928.2021.9625060,RSU / infrastructure-assisted; Routing-protocol impact; Datasets & simulation,,https://arxiv.org/abs/2606.11667,https://doi.org/10.1109/vtc2021-fall52928.2021.9625060
,2021,5,Enhancing Security in VANETs with Efficient Sybil Attack Detection using Fog Computing,Anirudh Paranjothi; Mohammed Atiquzzaman,arXiv (Cornell University),10.48550/arxiv.2108.10319,Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,,https://arxiv.org/pdf/2108.10319,http://arxiv.org/abs/2108.10319
,2021,5,Sybil Attack Detection Method based on Timestamp-Chain in Internet of Vehicles,Qianru Hu; Xiumei Fan; Axida Shan; Zicheng Wang,,10.1109/smartiot52359.2021.00035,RSSI / signal-strength & PHY; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/smartiot52359.2021.00035
YES,2019,5,SYBIL ATTACK DETECTION IN VANET USING SPIDER -MONKEY TECHNIQUE AND ECC,Aleena Ann Jose,International Journal of Wireless Communications and Network Technologies,10.30534/ijwcnt/2019/07832019,"Position / trajectory verification; Cryptography, PKI & pseudonyms",pdfs/2019_Jose_SYBIL_ATTACK_DETECTION_IN_VANET_USING_SPIDER_MONKEY_TECHNIQUE_AND_ECC.pdf,https://doi.org/10.30534/ijwcnt/2019/07832019,https://doi.org/10.30534/ijwcnt/2019/07832019
,2016,5,A behavioral study of Sybil attack on vehicular network,Amrit Suman; Chiranjeev Kumar,,10.1109/rait.2016.7507875,Routing-protocol impact,,,https://doi.org/10.1109/rait.2016.7507875
,2015,5,EBRS: Event Based Reputation System for Defensing Multi-source Sybil Attacks in VANET,Xia Feng; Chunyan Li; Dexin Chen; Jin Tang,Lecture notes in computer science,10.1007/978-3-319-21837-3_15,Trust / reputation,,,https://doi.org/10.1007/978-3-319-21837-3_15
YES,2014,5,Sybil Attack Detection with Reduced Bandwidthoverhead in Urban Vehicular Networks,D.Balamahalakshmi,International Journal of Innovative Research in Computer and Communication Engineering,,Position / trajectory verification; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2014_DBalamahalakshmi_Sybil_Attack_Detection_with_Reduced_Bandwidthoverhead_in_Urban_Vehicular_Networks.pdf,,https://www.rroij.com/open-access/sybil-attack-detection-with-reduced-bandwidthoverhead-in-urban-vehicular-networks.pdf
,2011,5,Combating Sybil Attacks in Vehicular Ad Hoc Networks,Khaled Rabieh; Marianne A. Azer,Communications in computer and information science,10.1007/978-3-642-21937-5_7,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-642-21937-5_7
,2025,4,Sybil attack detection in vehicular ad hoc networks (VANETs): a comprehensive survey,Habiba Hadri; Mourad Ouadou; Laila Chakour; Khalid Minaoui,Innovations in Systems and Software Engineering,10.1007/s11334-025-00603-7,Surveys & reviews,,,https://doi.org/10.1007/s11334-025-00603-7
,2025,4,Enhancing security in vanets: Adaptive Bald Eagle Search Optimization based multi-agent deep Q neural network for Sybil attack detection,M. Ajin; R. S. Shaji,Vehicular Communications,10.1016/j.vehcom.2025.100928,Machine learning / deep learning,,,https://doi.org/10.1016/j.vehcom.2025.100928
YES,2025,4,Creating a realistic sybil attack dataset for inter-vehicle communication,Taner Guven; Z. Cihan Taysi,Peer-to-Peer Networking and Applications,10.1007/s12083-025-02058-w,RSSI / signal-strength & PHY; Datasets & simulation,pdfs/2025_Guven_Creating_a_realistic_sybil_attack_dataset_for_intervehicle_communication.pdf,https://link.springer.com/content/pdf/10.1007/s12083-025-02058-w.pdf,https://doi.org/10.1007/s12083-025-02058-w
,2024,4,Unveiling Sybil Attacks Using AI ‐Driven Techniques in Software‐Defined Vehicular Networks,Rajendra Prasad Nayak; Sourav Kumar Bhoi; Kshira Sagar Sahoo; Srinivas Sethi; Subasish Mohapatra; Monowar Bhuyan,Security and Privacy,10.1002/spy2.487,Machine learning / deep learning; Trust / reputation; RSU / infrastructure-assisted,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/spy2.487,https://doi.org/10.1002/spy2.487
,2023,4,Sybil Attack Detection in VANETs: An LSTM-Based BiGAN Approach,Yongchao Zhong; Haonan Yang; Ying Li; Bo Yang; Xiaoqi Li; Qiuling Yue; Jinglu Hu; Yuqing Zhang,,10.1109/dspp58763.2023.10404993,Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.1109/dspp58763.2023.10404993
YES,2023,4,"Techniques to Overcome Network Attacks (Sybil Attack, Jamming Attack, Timing Attack) in VANET",Sinan Ameen Noman; Travis Atkison,Journal of The Colloquium for Information Systems Security Education,10.53735/cisse.v10i1.174,RSU / infrastructure-assisted,pdfs/2023_Noman_Techniques_to_Overcome_Network_Attacks_Sybil_Attack_Jamming_Attack_Timing_Attack_in_VANET.pdf,https://cisse.info/journal/index.php/cisse/article/download/174/174,https://doi.org/10.53735/cisse.v10i1.174
,2023,4,Sybil Detection in Connected Vehicle Systems via Angle-of-Arrival Estimation,Tianye Ma; Yidan Hu; Aisha Aseeri; Mark Nejad; Rui Zhang,,10.1109/most57249.2023.00029,RSSI / signal-strength & PHY; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/most57249.2023.00029
,2022,4,A Generative Adversarial Approach for Sybil Attacks Recognition for Vehicular Crowdsensing,Luis G. Jaimes; Juan M. Calderón; Scott K. Shriver; Antonio Hendricks; Javier Lozada; Sivasundaram Seenith; Harish Chintakunta,,10.1109/iccve52871.2022.9743106,Machine learning / deep learning,,,https://doi.org/10.1109/iccve52871.2022.9743106
,2021,4,Trajectory as an Identity: Privacy-Preserving and Sybil-Resistant Authentication for Internet of Vehicles,Jiangtao Li; Zhaoheng Song; Yufeng Li; Chenhong Cao; Yuanhang He,Security and Communication Networks,10.1155/2021/8251697,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,https://downloads.hindawi.com/journals/scn/2021/8251697.pdf,https://doi.org/10.1155/2021/8251697
,2020,4,Sybil Attack in VANET Operating in an Urban Environment: An Overview,Nitha C. Velayudhan; A. Anitha,Lecture notes in electrical engineering,10.1007/978-981-15-3992-3_36,Other / general Sybil defence,,,https://doi.org/10.1007/978-981-15-3992-3_36
YES,2020,4,Hybrid Trust-based Defense Mechanisms Against Sybil Attack in Vehicular Ad-hoc Networks,Agria Rhamdhan; Fadhil Hidayat,"Proceedings of the Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, MSCEIS 2019, 12 October 2019, Bandung, West Java, Indonesia",10.4108/eai.12-10-2019.2296524,Trust / reputation,pdfs/2020_Rhamdhan_Hybrid_Trustbased_Defense_Mechanisms_Against_Sybil_Attack_in_Vehicular_Adhoc_Networks.pdf,http://eudl.eu/pdf/10.4108/eai.12-10-2019.2296524,https://doi.org/10.4108/eai.12-10-2019.2296524
YES,2018,4,Evaluation of proposed technique for detection of Sybil attack in VANET,Kanwalprit Singh; Harmanpreet Kaur,International Journal of Scientific Research in Computer Sciences and Engineering,10.26438/ijsrcse/v6i5.1015,Other / general Sybil defence,pdfs/2018_Singh_Evaluation_of_proposed_technique_for_detection_of_Sybil_attack_in_VANET.pdf,http://www.isroset.org/pub_paper/IJSRCSE/3-IJSRCSE-01335.pdf,https://doi.org/10.26438/ijsrcse/v6i5.1015
,2016,4,Sybil Attack Detection in Vehicular Networks,Bharat Jayaraman; Jinesh M. Kannimoola; Krishnashree Achuthan,,10.1201/b19516-5,Other / general Sybil defence,,http://arxiv.org/abs/1905.03507,https://doi.org/10.1201/b19516-5
